invariant_file,repeat,rows,minimum_residue_id,maximum_residue_id,descriptor_count
2olo_A_model_1_relaxed_repeat051_inv.csv,51,389,1,389,30
2olo_A_model_1_relaxed_repeat052_inv.csv,52,389,1,389,30
2olo_A_model_1_relaxed_repeat053_inv.csv,53,389,1,389,30
2olo_A_model_1_relaxed_repeat054_inv.csv,54,389,1,389,30
2olo_A_model_1_relaxed_repeat055_inv.csv,55,389,1,389,30
2olo_A_model_1_relaxed_repeat056_inv.csv,56,389,1,389,30
2olo_A_model_1_relaxed_repeat057_inv.csv,57,389,1,389,30
2olo_A_model_1_relaxed_repeat058_inv.csv,58,389,1,389,30
2olo_A_model_1_relaxed_repeat059_inv.csv,59,389,1,389,30
2olo_A_model_1_relaxed_repeat060_inv.csv,60,389,1,389,30
2olo_A_model_1_relaxed_repeat061_inv.csv,61,389,1,389,30
2olo_A_model_1_relaxed_repeat062_inv.csv,62,389,1,389,30
2olo_A_model_1_relaxed_repeat063_inv.csv,63,389,1,389,30
2olo_A_model_1_relaxed_repeat064_inv.csv,64,389,1,389,30
2olo_A_model_1_relaxed_repeat065_inv.csv,65,389,1,389,30
2olo_A_model_1_relaxed_repeat066_inv.csv,66,389,1,389,30
2olo_A_model_1_relaxed_repeat067_inv.csv,67,389,1,389,30
2olo_A_model_1_relaxed_repeat068_inv.csv,68,389,1,389,30
2olo_A_model_1_relaxed_repeat069_inv.csv,69,389,1,389,30
2olo_A_model_1_relaxed_repeat070_inv.csv,70,389,1,389,30
2olo_A_model_1_relaxed_repeat071_inv.csv,71,389,1,389,30
2olo_A_model_1_relaxed_repeat072_inv.csv,72,389,1,389,30
2olo_A_model_1_relaxed_repeat073_inv.csv,73,389,1,389,30
2olo_A_model_1_relaxed_repeat074_inv.csv,74,389,1,389,30
2olo_A_model_1_relaxed_repeat075_inv.csv,75,389,1,389,30
2olo_A_model_1_relaxed_repeat076_inv.csv,76,389,1,389,30
2olo_A_model_1_relaxed_repeat077_inv.csv,77,389,1,389,30
2olo_A_model_1_relaxed_repeat078_inv.csv,78,389,1,389,30
2olo_A_model_1_relaxed_repeat079_inv.csv,79,389,1,389,30
2olo_A_model_1_relaxed_repeat080_inv.csv,80,389,1,389,30
2olo_A_model_1_relaxed_repeat081_inv.csv,81,389,1,389,30
2olo_A_model_1_relaxed_repeat082_inv.csv,82,389,1,389,30
2olo_A_model_1_relaxed_repeat083_inv.csv,83,389,1,389,30
2olo_A_model_1_relaxed_repeat084_inv.csv,84,389,1,389,30
2olo_A_model_1_relaxed_repeat085_inv.csv,85,389,1,389,30
2olo_A_model_1_relaxed_repeat086_inv.csv,86,389,1,389,30
2olo_A_model_1_relaxed_repeat087_inv.csv,87,389,1,389,30
2olo_A_model_1_relaxed_repeat088_inv.csv,88,389,1,389,30
2olo_A_model_1_relaxed_repeat089_inv.csv,89,389,1,389,30
2olo_A_model_1_relaxed_repeat090_inv.csv,90,389,1,389,30
2olo_A_model_1_relaxed_repeat091_inv.csv,91,389,1,389,30
2olo_A_model_1_relaxed_repeat092_inv.csv,92,389,1,389,30
2olo_A_model_1_relaxed_repeat093_inv.csv,93,389,1,389,30
2olo_A_model_1_relaxed_repeat094_inv.csv,94,389,1,389,30
2olo_A_model_1_relaxed_repeat095_inv.csv,95,389,1,389,30
2olo_A_model_1_relaxed_repeat096_inv.csv,96,389,1,389,30
2olo_A_model_1_relaxed_repeat097_inv.csv,97,389,1,389,30
2olo_A_model_1_relaxed_repeat098_inv.csv,98,389,1,389,30
2olo_A_model_1_relaxed_repeat099_inv.csv,99,389,1,389,30
2olo_A_model_1_relaxed_repeat100_inv.csv,100,389,1,389,30
